instant,dteday,season,year,month,holiday,weekday,workingday,weather,temp,atemp,humidity,windspeed,casual_x,registered_x,count_x,status,casual_y,registered_y,count_y,day_type
29,2011-01-01,Musim Semi,0,1,Bukan Hari Libur,Minggu,Bukan Hari Kerja,1,0.196522,0.212126,0.651739,0.145365,123,975,1098,Active,123,975,1098,Weekend
30,2011-01-01,Musim Semi,0,1,Bukan Hari Libur,Senin,Bukan Hari Kerja,1,0.216522,0.250322,0.722174,0.0739826,140,956,1096,Active,140,956,1096,Weekend
31,2011-01-01,Musim Semi,0,1,Bukan Hari Libur,Selasa,Hari Kerja,2,0.180833,0.18625,0.60375,0.187192,42,1459,1501,Active,42,1459,1501,Weekend
32,2011-02-01,Musim Semi,0,2,Bukan Hari Libur,Rabu,Hari Kerja,2,0.192174,0.23453,0.829565,0.053213,47,1313,1360,Active,47,1313,1360,Weekday
33,2011-02-01,Musim Semi,0,2,Bukan Hari Libur,Kamis,Hari Kerja,2,0.26,0.254417,0.775417,0.264308,72,1454,1526,Active,72,1454,1526,Weekday
34,2011-02-01,Musim Semi,0,2,Bukan Hari Libur,Jumat,Hari Kerja,1,0.186957,0.177878,0.437826,0.277752,61,1489,1550,Active,61,1489,1550,Weekday
35,2011-02-01,Musim Semi,0,2,Bukan Hari Libur,Sabtu,Hari Kerja,2,0.211304,0.228587,0.585217,0.127839,88,1620,1708,Active,88,1620,1708,Weekday
36,2011-02-01,Musim Semi,0,2,Bukan Hari Libur,Minggu,Bukan Hari Kerja,2,0.233333,0.243058,0.929167,0.161079,100,905,1005,Active,100,905,1005,Weekday
37,2011-02-01,Musim Semi,0,2,Bukan Hari Libur,Senin,Bukan Hari Kerja,1,0.285833,0.291671,0.568333,0.1418,354,1269,1623,Active,354,1269,1623,Weekday
38,2011-02-01,Musim Semi,0,2,Bukan Hari Libur,Selasa,Hari Kerja,1,0.271667,0.303658,0.738333,0.0454083,120,1592,1712,Active,120,1592,1712,Weekday
39,2011-02-01,Musim Semi,0,2,Bukan Hari Libur,Rabu,Hari Kerja,1,0.220833,0.198246,0.537917,0.36195,64,1466,1530,Active,64,1466,1530,Weekday
40,2011-02-01,Musim Semi,0,2,Bukan Hari Libur,Kamis,Hari Kerja,2,0.134783,0.144283,0.494783,0.188839,53,1552,1605,Active,53,1552,1605,Weekday
41,2011-02-01,Musim Semi,0,2,Bukan Hari Libur,Jumat,Hari Kerja,1,0.144348,0.149548,0.437391,0.221935,47,1491,1538,Active,47,1491,1538,Weekday
42,2011-02-01,Musim Semi,0,2,Bukan Hari Libur,Sabtu,Hari Kerja,1,0.189091,0.213509,0.506364,0.10855,149,1597,1746,Active,149,1597,1746,Weekday
43,2011-02-01,Musim Semi,0,2,Bukan Hari Libur,Minggu,Bukan Hari Kerja,1,0.2225,0.232954,0.544167,0.203367,288,1184,1472,Active,288,1184,1472,Weekday
44,2011-02-01,Musim Semi,0,2,Bukan Hari Libur,Senin,Bukan Hari Kerja,1,0.316522,0.324113,0.457391,0.260883,397,1192,1589,Active,397,1192,1589,Weekday
45,2011-02-01,Musim Semi,0,2,Bukan Hari Libur,Selasa,Hari Kerja,1,0.415,0.39835,0.375833,0.417908,208,1705,1913,Active,208,1705,1913,Weekday
46,2011-02-01,Musim Semi,0,2,Bukan Hari Libur,Rabu,Hari Kerja,1,0.266087,0.254274,0.314348,0.291374,140,1675,1815,Active,140,1675,1815,Weekday
47,2011-02-01,Musim Semi,0,2,Bukan Hari Libur,Kamis,Hari Kerja,1,0.318261,0.3162,0.423478,0.251791,218,1897,2115,Active,218,1897,2115,Weekday
48,2011-02-01,Musim Semi,0,2,Bukan Hari Libur,Jumat,Hari Kerja,1,0.435833,0.428658,0.505,0.230104,259,2216,2475,Active,259,2216,2475,Weekday
49,2011-02-01,Musim Semi,0,2,Bukan Hari Libur,Sabtu,Hari Kerja,1,0.521667,0.511983,0.516667,0.264925,579,2348,2927,Active,579,2348,2927,Weekday
50,2011-02-01,Musim Semi,0,2,Bukan Hari Libur,Minggu,Bukan Hari Kerja,1,0.399167,0.391404,0.187917,0.507463,532,1103,1635,Active,532,1103,1635,Weekday
51,2011-02-01,Musim Semi,0,2,Bukan Hari Libur,Senin,Bukan Hari Kerja,1,0.285217,0.27733,0.407826,0.223235,639,1173,1812,Active,639,1173,1812,Weekday
52,2011-02-01,Musim Semi,0,2,Hari Libur,Selasa,Bukan Hari Kerja,2,0.303333,0.284075,0.605,0.307846,195,912,1107,Active,195,912,1107,Weekday
53,2011-02-01,Musim Semi,0,2,Bukan Hari Libur,Rabu,Hari Kerja,1,0.182222,0.186033,0.577778,0.195683,74,1376,1450,Active,74,1376,1450,Weekday
54,2011-02-01,Musim Semi,0,2,Bukan Hari Libur,Kamis,Hari Kerja,1,0.221739,0.245717,0.423043,0.094113,139,1778,1917,Active,139,1778,1917,Weekday
55,2011-02-01,Musim Semi,0,2,Bukan Hari Libur,Jumat,Hari Kerja,2,0.295652,0.289191,0.697391,0.250496,100,1707,1807,Active,100,1707,1807,Weekday
56,2011-02-01,Musim Semi,0,2,Bukan Hari Libur,Sabtu,Hari Kerja,2,0.364348,0.350461,0.712174,0.346539,120,1341,1461,Active,120,1341,1461,Weekday
57,2011-02-01,Musim Semi,0,2,Bukan Hari Libur,Minggu,Bukan Hari Kerja,1,0.2825,0.282192,0.537917,0.186571,424,1545,1969,Active,424,1545,1969,Weekday
58,2011-02-01,Musim Semi,0,2,Bukan Hari Libur,Senin,Bukan Hari Kerja,1,0.343478,0.351109,0.68,0.125248,694,1708,2402,Active,694,1708,2402,Weekday
59,2011-02-01,Musim Semi,0,2,Bukan Hari Libur,Selasa,Hari Kerja,2,0.407273,0.400118,0.876364,0.289686,81,1365,1446,Active,81,1365,1446,Weekday
60,2011-03-01,Musim Semi,0,3,Bukan Hari Libur,Rabu,Hari Kerja,1,0.266667,0.263879,0.535,0.216425,137,1714,1851,Active,137,1714,1851,Weekday
61,2011-03-01,Musim Semi,0,3,Bukan Hari Libur,Kamis,Hari Kerja,1,0.335,0.320071,0.449583,0.307833,231,1903,2134,Active,231,1903,2134,Weekday
62,2011-03-01,Musim Semi,0,3,Bukan Hari Libur,Jumat,Hari Kerja,1,0.198333,0.200133,0.318333,0.225754,123,1562,1685,Active,123,1562,1685,Weekday
63,2011-03-01,Musim Semi,0,3,Bukan Hari Libur,Sabtu,Hari Kerja,2,0.261667,0.255679,0.610417,0.203346,214,1730,1944,Active,214,1730,1944,Weekday
64,2011-03-01,Musim Semi,0,3,Bukan Hari Libur,Minggu,Bukan Hari Kerja,2,0.384167,0.378779,0.789167,0.251871,640,1437,2077,Active,640,1437,2077,Weekday
65,2011-03-01,Musim Semi,0,3,Bukan Hari Libur,Senin,Bukan Hari Kerja,2,0.376522,0.366252,0.948261,0.343287,114,491,605,Active,114,491,605,Weekday
66,2011-03-01,Musim Semi,0,3,Bukan Hari Libur,Selasa,Hari Kerja,1,0.261739,0.238461,0.551304,0.341352,244,1628,1872,Active,244,1628,1872,Weekday
67,2011-03-01,Musim Semi,0,3,Bukan Hari Libur,Rabu,Hari Kerja,1,0.2925,0.3024,0.420833,0.12065,316,1817,2133,Active,316,1817,2133,Weekday
68,2011-03-01,Musim Semi,0,3,Bukan Hari Libur,Kamis,Hari Kerja,2,0.295833,0.286608,0.775417,0.22015,191,1700,1891,Active,191,1700,1891,Weekday
69,2011-03-01,Musim Semi,0,3,Bukan Hari Libur,Jumat,Hari Kerja,3,0.389091,0.385668,0.0,0.261877,46,577,623,Active,46,577,623,Weekday
70,2011-03-01,Musim Semi,0,3,Bukan Hari Libur,Sabtu,Hari Kerja,2,0.316522,0.305,0.649565,0.23297,247,1730,1977,Active,247,1730,1977,Weekday
71,2011-03-01,Musim Semi,0,3,Bukan Hari Libur,Minggu,Bukan Hari Kerja,1,0.329167,0.32575,0.594583,0.220775,724,1408,2132,Active,724,1408,2132,Weekday
72,2011-03-01,Musim Semi,0,3,Bukan Hari Libur,Senin,Bukan Hari Kerja,1,0.384348,0.380091,0.527391,0.270604,982,1435,2417,Active,982,1435,2417,Weekday
73,2011-03-01,Musim Semi,0,3,Bukan Hari Libur,Selasa,Hari Kerja,1,0.325217,0.332,0.496957,0.136926,359,1687,2046,Active,359,1687,2046,Weekday
74,2011-03-01,Musim Semi,0,3,Bukan Hari Libur,Rabu,Hari Kerja,2,0.317391,0.318178,0.655652,0.184309,289,1767,2056,Active,289,1767,2056,Weekday
75,2011-03-01,Musim Semi,0,3,Bukan Hari Libur,Kamis,Hari Kerja,2,0.365217,0.36693,0.776522,0.203117,321,1871,2192,Active,321,1871,2192,Weekday
76,2011-03-01,Musim Semi,0,3,Bukan Hari Libur,Jumat,Hari Kerja,1,0.415,0.410333,0.602917,0.209579,424,2320,2744,Active,424,2320,2744,Weekday
77,2011-03-01,Musim Semi,0,3,Bukan Hari Libur,Sabtu,Hari Kerja,1,0.54,0.527009,0.525217,0.231017,884,2355,3239,Active,884,2355,3239,Weekday
78,2011-03-01,Musim Semi,0,3,Bukan Hari Libur,Minggu,Bukan Hari Kerja,1,0.4725,0.466525,0.379167,0.368167,1424,1693,3117,Active,1424,1693,3117,Weekday
79,2011-03-01,Musim Semi,0,3,Bukan Hari Libur,Senin,Bukan Hari Kerja,1,0.3325,0.32575,0.47375,0.207721,1047,1424,2471,Active,1047,1424,2471,Weekday
80,2011-03-01,Musim Panas,0,3,Bukan Hari Libur,Selasa,Hari Kerja,2,0.430435,0.409735,0.737391,0.288783,401,1676,2077,Active,401,1676,2077,Weekday
81,2011-03-01,Musim Panas,0,3,Bukan Hari Libur,Rabu,Hari Kerja,1,0.441667,0.440642,0.624583,0.22575,460,2243,2703,Active,460,2243,2703,Weekday
82,2011-03-01,Musim Panas,0,3,Bukan Hari Libur,Kamis,Hari Kerja,2,0.346957,0.337939,0.839565,0.234261,203,1918,2121,Active,203,1918,2121,Weekday
83,2011-03-01,Musim Panas,0,3,Bukan Hari Libur,Jumat,Hari Kerja,2,0.285,0.270833,0.805833,0.243787,166,1699,1865,Active,166,1699,1865,Weekday
84,2011-03-01,Musim Panas,0,3,Bukan Hari Libur,Sabtu,Hari Kerja,1,0.264167,0.256312,0.495,0.230725,300,1910,2210,Active,300,1910,2210,Weekday
85,2011-03-01,Musim Panas,0,3,Bukan Hari Libur,Minggu,Bukan Hari Kerja,1,0.265833,0.257571,0.394167,0.209571,981,1515,2496,Active,981,1515,2496,Weekday
86,2011-03-01,Musim Panas,0,3,Bukan Hari Libur,Senin,Bukan Hari Kerja,2,0.253043,0.250339,0.493913,0.1843,472,1221,1693,Active,472,1221,1693,Weekday
87,2011-03-01,Musim Panas,0,3,Bukan Hari Libur,Selasa,Hari Kerja,1,0.264348,0.257574,0.302174,0.212204,222,1806,2028,Active,222,1806,2028,Weekday
88,2011-03-01,Musim Panas,0,3,Bukan Hari Libur,Rabu,Hari Kerja,1,0.3025,0.292908,0.314167,0.226996,317,2108,2425,Active,317,2108,2425,Weekday
89,2011-03-01,Musim Panas,0,3,Bukan Hari Libur,Kamis,Hari Kerja,2,0.3,0.29735,0.646667,0.172888,168,1368,1536,Active,168,1368,1536,Weekday
90,2011-03-01,Musim Panas,0,3,Bukan Hari Libur,Jumat,Hari Kerja,3,0.268333,0.257575,0.918333,0.217646,179,1506,1685,Active,179,1506,1685,Weekday
91,2011-04-01,Musim Panas,0,4,Bukan Hari Libur,Sabtu,Hari Kerja,2,0.3,0.283454,0.68625,0.258708,307,1920,2227,Active,307,1920,2227,Weekday
92,2011-04-01,Musim Panas,0,4,Bukan Hari Libur,Minggu,Bukan Hari Kerja,2,0.315,0.315637,0.65375,0.197146,898,1354,2252,Active,898,1354,2252,Weekday
93,2011-04-01,Musim Panas,0,4,Bukan Hari Libur,Senin,Bukan Hari Kerja,1,0.378333,0.378767,0.48,0.182213,1651,1598,3249,Active,1651,1598,3249,Weekday
94,2011-04-01,Musim Panas,0,4,Bukan Hari Libur,Selasa,Hari Kerja,1,0.573333,0.542929,0.42625,0.385571,734,2381,3115,Active,734,2381,3115,Weekday
95,2011-04-01,Musim Panas,0,4,Bukan Hari Libur,Rabu,Hari Kerja,2,0.414167,0.39835,0.642083,0.388067,167,1628,1795,Active,167,1628,1795,Weekday
96,2011-04-01,Musim Panas,0,4,Bukan Hari Libur,Kamis,Hari Kerja,1,0.390833,0.387608,0.470833,0.263063,413,2395,2808,Active,413,2395,2808,Weekday
97,2011-04-01,Musim Panas,0,4,Bukan Hari Libur,Jumat,Hari Kerja,1,0.4375,0.433696,0.602917,0.162312,571,2570,3141,Active,571,2570,3141,Weekday
98,2011-04-01,Musim Panas,0,4,Bukan Hari Libur,Sabtu,Hari Kerja,2,0.335833,0.324479,0.83625,0.226992,172,1299,1471,Active,172,1299,1471,Weekday
99,2011-04-01,Musim Panas,0,4,Bukan Hari Libur,Minggu,Bukan Hari Kerja,2,0.3425,0.341529,0.8775,0.133083,879,1576,2455,Active,879,1576,2455,Weekday
100,2011-04-01,Musim Panas,0,4,Bukan Hari Libur,Senin,Bukan Hari Kerja,2,0.426667,0.426737,0.8575,0.146767,1188,1707,2895,Active,1188,1707,2895,Weekday
101,2011-04-01,Musim Panas,0,4,Bukan Hari Libur,Selasa,Hari Kerja,2,0.595652,0.565217,0.716956,0.324474,855,2493,3348,Active,855,2493,3348,Weekday
102,2011-04-01,Musim Panas,0,4,Bukan Hari Libur,Rabu,Hari Kerja,2,0.5025,0.493054,0.739167,0.274879,257,1777,2034,Active,257,1777,2034,Weekday
103,2011-04-01,Musim Panas,0,4,Bukan Hari Libur,Kamis,Hari Kerja,2,0.4125,0.417283,0.819167,0.250617,209,1953,2162,Active,209,1953,2162,Weekday
104,2011-04-01,Musim Panas,0,4,Bukan Hari Libur,Jumat,Hari Kerja,1,0.4675,0.462742,0.540417,0.1107,529,2738,3267,Active,529,2738,3267,Weekday
105,2011-04-01,Musim Panas,0,4,Hari Libur,Sabtu,Bukan Hari Kerja,1,0.446667,0.441913,0.67125,0.226375,642,2484,3126,Active,642,2484,3126,Weekday
106,2011-04-01,Musim Panas,0,4,Bukan Hari Libur,Minggu,Bukan Hari Kerja,3,0.430833,0.425492,0.888333,0.340808,121,674,795,Active,121,674,795,Weekday
107,2011-04-01,Musim Panas,0,4,Bukan Hari Libur,Senin,Bukan Hari Kerja,1,0.456667,0.445696,0.479583,0.303496,1558,2186,3744,Active,1558,2186,3744,Weekday
108,2011-04-01,Musim Panas,0,4,Bukan Hari Libur,Selasa,Hari Kerja,1,0.5125,0.503146,0.5425,0.163567,669,2760,3429,Active,669,2760,3429,Weekday
109,2011-04-01,Musim Panas,0,4,Bukan Hari Libur,Rabu,Hari Kerja,2,0.505833,0.489258,0.665833,0.157971,409,2795,3204,Active,409,2795,3204,Weekday
110,2011-04-01,Musim Panas,0,4,Bukan Hari Libur,Kamis,Hari Kerja,1,0.595,0.564392,0.614167,0.241925,613,3331,3944,Active,613,3331,3944,Weekday
111,2011-04-01,Musim Panas,0,4,Bukan Hari Libur,Jumat,Hari Kerja,1,0.459167,0.453892,0.407083,0.325258,745,3444,4189,Active,745,3444,4189,Weekday
112,2011-04-01,Musim Panas,0,4,Bukan Hari Libur,Sabtu,Hari Kerja,2,0.336667,0.321954,0.729583,0.219521,177,1506,1683,Active,177,1506,1683,Weekday
113,2011-04-01,Musim Panas,0,4,Bukan Hari Libur,Minggu,Bukan Hari Kerja,2,0.46,0.450121,0.887917,0.230725,1462,2574,4036,Active,1462,2574,4036,Weekday
114,2011-04-01,Musim Panas,0,4,Bukan Hari Libur,Senin,Bukan Hari Kerja,2,0.581667,0.551763,0.810833,0.192175,1710,2481,4191,Active,1710,2481,4191,Weekday
115,2011-04-01,Musim Panas,0,4,Bukan Hari Libur,Selasa,Hari Kerja,1,0.606667,0.5745,0.776667,0.185333,773,3300,4073,Active,773,3300,4073,Weekday
116,2011-04-01,Musim Panas,0,4,Bukan Hari Libur,Rabu,Hari Kerja,1,0.631667,0.594083,0.729167,0.3265,678,3722,4400,Active,678,3722,4400,Weekday
117,2011-04-01,Musim Panas,0,4,Bukan Hari Libur,Kamis,Hari Kerja,2,0.62,0.575142,0.835417,0.3122,547,3325,3872,Active,547,3325,3872,Weekday
118,2011-04-01,Musim Panas,0,4,Bukan Hari Libur,Jumat,Hari Kerja,2,0.6175,0.578929,0.700833,0.320908,569,3489,4058,Active,569,3489,4058,Weekday
119,2011-04-01,Musim Panas,0,4,Bukan Hari Libur,Sabtu,Hari Kerja,1,0.51,0.497463,0.457083,0.240063,878,3717,4595,Active,878,3717,4595,Weekday
120,2011-04-01,Musim Panas,0,4,Bukan Hari Libur,Minggu,Bukan Hari Kerja,1,0.4725,0.464021,0.503333,0.235075,1965,3347,5312,Active,1965,3347,5312,Weekday
121,2011-05-01,Musim Panas,0,5,Bukan Hari Libur,Senin,Bukan Hari Kerja,2,0.451667,0.448204,0.762083,0.106354,1138,2213,3351,Active,1138,2213,3351,Weekend
122,2011-05-01,Musim Panas,0,5,Bukan Hari Libur,Selasa,Hari Kerja,2,0.549167,0.532833,0.73,0.183454,847,3554,4401,Active,847,3554,4401,Weekend
123,2011-05-01,Musim Panas,0,5,Bukan Hari Libur,Rabu,Hari Kerja,2,0.616667,0.582079,0.697083,0.342667,603,3848,4451,Active,603,3848,4451,Weekend
124,2011-05-01,Musim Panas,0,5,Bukan Hari Libur,Kamis,Hari Kerja,2,0.414167,0.40465,0.737083,0.328996,255,2378,2633,Active,255,2378,2633,Weekend
125,2011-05-01,Musim Panas,0,5,Bukan Hari Libur,Jumat,Hari Kerja,1,0.459167,0.441917,0.444167,0.295392,614,3819,4433,Active,614,3819,4433,Weekend
126,2011-05-01,Musim Panas,0,5,Bukan Hari Libur,Sabtu,Hari Kerja,1,0.479167,0.474117,0.59,0.228246,894,3714,4608,Active,894,3714,4608,Weekend
127,2011-05-01,Musim Panas,0,5,Bukan Hari Libur,Minggu,Bukan Hari Kerja,1,0.52,0.512621,0.54125,0.16045,1612,3102,4714,Active,1612,3102,4714,Weekend
128,2011-05-01,Musim Panas,0,5,Bukan Hari Libur,Senin,Bukan Hari Kerja,1,0.528333,0.518933,0.631667,0.0746375,1401,2932,4333,Active,1401,2932,4333,Weekend
129,2011-05-01,Musim Panas,0,5,Bukan Hari Libur,Selasa,Hari Kerja,1,0.5325,0.525246,0.58875,0.176,664,3698,4362,Active,664,3698,4362,Weekend
130,2011-05-01,Musim Panas,0,5,Bukan Hari Libur,Rabu,Hari Kerja,1,0.5325,0.522721,0.489167,0.115671,694,4109,4803,Active,694,4109,4803,Weekend
131,2011-05-01,Musim Panas,0,5,Bukan Hari Libur,Kamis,Hari Kerja,1,0.5425,0.5284,0.632917,0.120642,550,3632,4182,Active,550,3632,4182,Weekend
132,2011-05-01,Musim Panas,0,5,Bukan Hari Libur,Jumat,Hari Kerja,1,0.535,0.523363,0.7475,0.189667,695,4169,4864,Active,695,4169,4864,Weekend
133,2011-05-01,Musim Panas,0,5,Bukan Hari Libur,Sabtu,Hari Kerja,2,0.5125,0.4943,0.863333,0.179725,692,3413,4105,Active,692,3413,4105,Weekend
134,2011-05-01,Musim Panas,0,5,Bukan Hari Libur,Minggu,Bukan Hari Kerja,2,0.520833,0.500629,0.9225,0.13495,902,2507,3409,Active,902,2507,3409,Weekend
135,2011-05-01,Musim Panas,0,5,Bukan Hari Libur,Senin,Bukan Hari Kerja,2,0.5625,0.536,0.867083,0.152979,1582,2971,4553,Active,1582,2971,4553,Weekend
136,2011-05-01,Musim Panas,0,5,Bukan Hari Libur,Selasa,Hari Kerja,1,0.5775,0.550512,0.787917,0.126871,773,3185,3958,Active,773,3185,3958,Weekend
137,2011-05-01,Musim Panas,0,5,Bukan Hari Libur,Rabu,Hari Kerja,2,0.561667,0.538529,0.837917,0.277354,678,3445,4123,Active,678,3445,4123,Weekend
138,2011-05-01,Musim Panas,0,5,Bukan Hari Libur,Kamis,Hari Kerja,2,0.55,0.527158,0.87,0.201492,536,3319,3855,Active,536,3319,3855,Weekend
139,2011-05-01,Musim Panas,0,5,Bukan Hari Libur,Jumat,Hari Kerja,2,0.530833,0.510742,0.829583,0.108213,735,3840,4575,Active,735,3840,4575,Weekend
140,2011-05-01,Musim Panas,0,5,Bukan Hari Libur,Sabtu,Hari Kerja,1,0.536667,0.529042,0.719583,0.125013,909,4008,4917,Active,909,4008,4917,Weekend
141,2011-05-01,Musim Panas,0,5,Bukan Hari Libur,Minggu,Bukan Hari Kerja,1,0.6025,0.571975,0.626667,0.12065,2258,3547,5805,Active,2258,3547,5805,Weekend
142,2011-05-01,Musim Panas,0,5,Bukan Hari Libur,Senin,Bukan Hari Kerja,1,0.604167,0.5745,0.749583,0.148008,1576,3084,4660,Active,1576,3084,4660,Weekend
143,2011-05-01,Musim Panas,0,5,Bukan Hari Libur,Selasa,Hari Kerja,2,0.631667,0.590296,0.81,0.233842,836,3438,4274,Active,836,3438,4274,Weekend
144,2011-05-01,Musim Panas,0,5,Bukan Hari Libur,Rabu,Hari Kerja,2,0.66,0.604813,0.740833,0.207092,659,3833,4492,Active,659,3833,4492,Weekend
145,2011-05-01,Musim Panas,0,5,Bukan Hari Libur,Kamis,Hari Kerja,1,0.660833,0.615542,0.69625,0.154233,740,4238,4978,Active,740,4238,4978,Weekend
146,2011-05-01,Musim Panas,0,5,Bukan Hari Libur,Jumat,Hari Kerja,1,0.708333,0.654688,0.6775,0.199642,758,3919,4677,Active,758,3919,4677,Weekend
147,2011-05-01,Musim Panas,0,5,Bukan Hari Libur,Sabtu,Hari Kerja,1,0.681667,0.637008,0.65375,0.240679,871,3808,4679,Active,871,3808,4679,Weekend
148,2011-05-01,Musim Panas,0,5,Bukan Hari Libur,Minggu,Bukan Hari Kerja,1,0.655833,0.612379,0.729583,0.230092,2001,2757,4758,Active,2001,2757,4758,Weekend
149,2011-05-01,Musim Panas,0,5,Bukan Hari Libur,Senin,Bukan Hari Kerja,1,0.6675,0.61555,0.81875,0.213938,2355,2433,4788,Active,2355,2433,4788,Weekend
150,2011-05-01,Musim Panas,0,5,Hari Libur,Selasa,Bukan Hari Kerja,1,0.733333,0.671092,0.685,0.131225,1549,2549,4098,Active,1549,2549,4098,Weekend
151,2011-05-01,Musim Panas,0,5,Bukan Hari Libur,Rabu,Hari Kerja,1,0.775,0.725383,0.636667,0.111329,673,3309,3982,Active,673,3309,3982,Weekend
152,2011-06-01,Musim Panas,0,6,Bukan Hari Libur,Kamis,Hari Kerja,2,0.764167,0.720967,0.677083,0.207092,513,3461,3974,Active,513,3461,3974,Weekday
